question_id,image_filename,Marks,solution_image_id,solve_text,subject
38,1051.jpg,10.0,1050.0,"θ₁ = 90 - A; θ₂ = 90 - B
এখন,
/frac{T_{CA}}{sin(π-θ₂)}/ = /frac{T_{CB}}{sin(π-θ₁)}/ = /frac{W}{sin(θ₁+θ₂)}/ ⇒ /frac{T_{CA}}{sin θ₂}/ = /frac{T_{CB}}{sin θ₁}/ = /frac{W}{sin C}/
⇒ /frac{T_{CA}}{sin(90-B)}/ = /frac{T_{CB}}{sin(90-A)}/ = /frac{W}{sin C}/
⇒ T_{CA} = Wcos B  এখন, cos B = /frac{c²+a²-b²}{2ca}/ ও Δ = /frac{1}{2}absin c/
⇒ sin c = /frac{2Δ}{ab}/ :: T_{CA} = /frac{W × c²+a²-b²}{2ca}/ :: T_{CA} = /frac{Wb(c²+a²-b²)}{4cΔ}/ (Proved)

নম্বর বণ্টনঃ
/frac{T_{CA}}{sin(90-B)}/ = /frac{T_{CB}}{sin(90-A)}/ = /frac{W}{sin C}/ ; নির্ণয় করার জন্য ০৪ নম্বর।
T_{CA} = /frac{W × c²+a²-b²}{2ca}/ ; নির্ণয় করার জন্য ০৪ নম্বর।
T_{CA} = /frac{Wb(c²+a²-b²)}{4cΔ}/ ; প্রমাণ করার জন্য ০২ নম্বর।",Math
40,1053.jpg,10.0,,"COS X
+
√3 sin x
=
√2
√12+(√3)2 √12+(√3)2
√12+(√3)2

⇒
COS X
√3 sin x
+
=
1
2
2
√2

⇒ cos x. 1/2 + sin x. √3/2 = 1/√2

⇒ cos xcos π/3 + sin xsin π/3 = cos π/4

⇒ cos (x - π/3) = cos π/4 ⇒ x - π/3 = 2nπ ± π/4

:: x = 2nπ ± π/4 + π/3 :: x = 2nπ + 7π/12, 2nπ + π/12 [n ∈ Z]

নম্বর বণ্টনঃ

cos (x - π/3) = cos π/4 ; নির্ণয় করার জন্য ০৪ নম্বর।

x = 2nπ + 7π/12 ; নির্ণয় করার জন্য ০৩ নম্বর।

x = 2nπ + π/12 ; নির্ণয় করার জন্য ০৩ নম্বর।",Math
49,1067.jpg,10.0,,"মূলগুলো a - d, a, a + d
∴ a - d + a + a + d = -3a ⇒ 3a = -3a ⇒ a = -a
a = -a = x সমীকরণে বসিয়ে পাই -
(-a)³ + 3a(-a)² + (-a) + 1 = 0 ⇒ -a³ + 3a³ - a + 1 = 0
⇒ 2a³ - a + 1 = 0 ⇒ a = -1 ও বাকি দুটি মান অবাস্তব।
∴ a = -(-1) = 1
এখন, a.(a - d).(a + d) = -1/1 ⇒ 1(1 - d).(1 + d) = -1
⇒ 1 - d² = -1 ⇒ d² = 2 ⇒ d = √2
∴ মূলগুলো 1 - √2, 1, 1 + √2
নম্বর বণ্টনঃ
a = 1 ; নির্ণয় করার জন্য ০৪ নম্বর।
d = √2 ; নির্ণয় করার জন্য ০৩ নম্বর।
মূলগুলো 1 - √2, 1, 1 + √2 ; নির্ণয় করার জন্য ০৩ নম্বর।",Math
57,1078.jpg,10.0,1077.0,"56
Fe এর ভর ত্রুটি, ∆ m = 26 mp + 30 mn − 55.934939 = 0.52846 amu
26
বন্ধন শক্তি, E1 = 0.52846 × 931 = 492 MeV
B. E per nucleon = /fraction{492}{56} = 8.786 MeV/nucleon
209
Bi এর ভর ত্রুটি △ m = 83 mp+ (209 - 83)mn − 208.980388 = 1.7596 amu
83
বন্ধন শক্তি E2 = 1638.2 MeV
B.E per nucleon = /fraction{1638.2}{209} = 7.838 MeV/ nucleon
56
নিউক্লিওন প্রতি বন্ধন শক্তি Fe এর বেশি হওয়ায় এটি অধিক স্থিতিশীল হবে।
26
নম্বর বণ্টনঃ
E₁ = 492 MeV; নির্ণয় করার জন্য ০২ নম্বর।
B. E per nucleon = 8.786 MeV/ nucleon; নির্ণয় করার জন্য ০২ নম্বর।
E2 = 1638.2 MeV; নির্ণয় করার জন্য ০২ নম্বর।
B.E per nucleon = 7.838 MeV/ nucleon; নির্ণয় করার জন্য ০২ নম্বর।
56
নিউক্লিওন প্রতি বন্ধন শক্তি Fe এর বেশি হওয়ায় এটি অধিক স্থিতিশীল হবে; লেখার জন্য ০২ নম্বর।
26
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
61,1083.jpg,0.0,1082.0,"I →  /frac{1}{2} →  /frac{1}{4} → ... : A||B
A B

এখন,

I /frac{1}{8} = /frac{1}{2}cos^2 θ  ( /frac{1}{2}+cos^2 θ) cos^2 θ
A C B


.. ম্যালাসের সূত্র প্রয়োগ করে পাই,

I  = /frac{1}{8}  = cos^2 θ × cos^2 θ ⇒ cos^2 θ =  /frac{1}{2}

.. θ = 45°

নম্বর বণ্টনঃ

I /frac{1}{8} =  cos^2 θ × cos^2 θ ; সূত্রের জন্য ০২ নম্বর।

মান বসানোর জন্য ০১ নম্বর।

θ = 45° নির্ণয়ের জন্য ০৭ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
63,1086.jpg,10.0,,"AS = −mlk/T₁₀₀ + mswln(T₀/T₁₀₀) + mlf/T₀ + msiceln(T−₁₀/T₀)
= 0.02 × 2268000/(100+273) + 0.02 × 4200 × ln(273/(100+273)) − 0.02 × 336000/273 + 0.02 × 2100 × ln(263/273) = −174.01 JK⁻¹ (Ans.)

নম্বর বণ্টনঃ

AS = −mlk/T₁₀₀ + mswln(T₀/T₁₀₀) + mlf/T₀ + msiceln(T−₁₀/T₀) ; নির্ণয়ের জন্য ০৩ নম্বর।

মান বসানোর জন্য ০২ নম্বর।

AS = −174.01 JK⁻¹ ; নির্ণয়ের জন্য ০৫ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
256,1335.jpg,10.0,,"α + β = -¹⁄ₐ ; αβ = ¹⁄ₐ ; γ + δ = -ᶜ⁄ᵦ ; γδ = ᵃ⁄ᵦ

এখন, ᵃ⁄ᵦ = ⁽α⁺β⁾⁄⁽γ⁺δ⁾ ⇒ ᵃ⁄ᵦ = ⁽α⁻β⁾⁄⁽γ⁻δ⁾ ⇒ ⁽⁽α⁺β⁾²⁾⁄⁽⁽α⁺β⁾²-⁴αβ⁾ = ⁽⁽γ⁺δ⁾²⁾⁄⁽⁽γ⁺δ⁾²-⁴γδ⁾ ⇒ ᵇ²/ᵃ² = ᶜ²/ᵦ² ⇒ ᵇ²/⁽ᵇ²-⁴ca⁾ = ᶜ²/⁽ᶜ²-⁴ab⁾

⇒ b²c² - 4ab³ = b²c² - 4c³a ⇒ b³ = c³ ⇒ b = c; ইহাই নির্ণেয় শর্ত।

নম্বর বণ্টনঃ
⁽⁽α⁺β⁾²⁾⁄⁽⁽α⁺β⁾²-⁴αβ⁾ = ⁽⁽γ⁺δ⁾²⁾⁄⁽⁽γ⁺δ⁾²-⁴γδ⁾ ; নির্ণয়ের জন্য ০৩ নম্বর।
ᵇ²/ᵃ² = ᶜ²/ᵦ² ; নির্ণয়ের জন্য ০৩ নম্বর।
ᵇ²/⁽ᵇ²-⁴ca⁾ = ᶜ²/⁽ᶜ²-⁴ab⁾
b = c; নির্ণয়ের জন্য ০৪ নম্বর।",Math
273,1355.jpg,6.0,,"মিশ্রণে, [H+] = ∑(eAcid× Sacid× VAcid)-∑(eBase× Sbase× VBase)
∑ Vacid+∑ VBase

= eH₂SO₄×SH₂SO₄×VH₂SO₄ + eHCl×SHCl×VHCl - eNa₂CO₃×VNa₂CO₃×SNa₂CO₃ - eNaOH×SNaOH×VNaOH
VH₂SO₄ + VHCl + VNa₂CO₃ + VNaOH

= NH₂SO₄×VH₂SO₄ + NHCl×VHCl - eNa₂CO₃×VNa₂CO₃×SNa₂CO₃ - NNaOH×VNaOH
VH₂SO₄ + VHCl + VNa₂CO₃ + VNaOH

= 0.1×100+50×0.2-2×0.05×100-0.1×50 = 1 M
100+100+50+50       60

.. শক্তিমাত্রা, pH = -log [H+] = -log (1/60) = 1.778 (Ans.)

নম্বর বণ্টন:
[H+] = ∑(eAcid× Sacid× VAcid)-∑(eBase× SBase× VBase) ; সূত্রের জন্য ০২ নম্বর।
[H+] = 1/60 M; নির্ণয়ের জন্য ০৪ নম্বর।
pH = 1.778; নির্ণয়ের জন্য ০৪ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
299,1409.jpg,8.0,,"cos θ = (a cos α - b) / (a - b cos α)

=> (1 - tan²(θ/2)) / (1 + tan²(θ/2)) = (a - b) / (a + b)

=> (1 - tan²(θ/2)) / (1 + tan²(θ/2)) = (a - b x (1 - tan²(α/2)) / (a + b x (1 - tan²(α/2))

=> (1 - tan²(θ/2)) / (1 + tan²(θ/2)) = ((a - b) - (a + b)tan²(α/2)) / ((a - b) + (a + b)tan²(α/2))

=> 2 tan²(θ/2) = 2(a - b) / (a + b)tan²(α/2)

=> tan²(θ/2) = (a - b) / (a + b)

=> tan(θ/2) = √((a + b) / (a - b))

নম্বর বণ্টনঃ

(1 - tan²(θ/2)) / (1 + tan²(θ/2)) = (a - b) / (a + b); নির্ণয় করার জন্য ০২ নম্বর।

(1 - tan²(θ/2)) / (1 + tan²(θ/2)) = ((a - b) - (a + b)tan²(α/2)) / ((a - b) + (a + b)tan²(α/2)); নির্ণয় করার জন্য ০৩ নম্বর।

tan(θ/2) = √((a + b) / (a - b)); নির্ণয় করার জন্য ০৫ নম্বর।",Math
317,1438.jpg,0.0,1437.0,"একক দৈর্ঘ্যের ভর, m = \frac{0.012}{0.28} = \frac{3}{70} kgm^{-1}
বিভবশক্তির পরিবর্তন = \frac{mgL + 0}{2} \times \frac{L}{4}
ঘর্ষণ বল এর বিরুদ্ধে কৃতকাজ = μ (\frac{3mL}{4} \times g \times \frac{L}{4} + \frac{mgL}{4} \times \frac{L}{4 \times 2}) [\frac{L}{4 \times 2} অংশের জন্য টেবিলের উপর গড় সরণ]
মোট কাজ = \frac{mgL^2}{32} + μmgL^2 \times \frac{7}{32}
\Rightarrow \frac{3 \times 9.8 \times 0.28^2}{70} \times \frac{7}{32} + μ \times \frac{3}{70} \times 9.8 \times 0.28^2 \times \frac{7}{32} = 2.5 \times 10^{-3} .. μ = 0.204 [Ans.]
নম্বর বণ্টনঃ
বিভবশক্তির পরিবর্তন = \frac{mgL + 0}{2} \times \frac{L}{4} ; নির্ণয় করার জন্য ০৩ নম্বর।
ঘর্ষণ বল এর বিরুদ্ধে কৃতকাজ = μ (\frac{3mL}{4} \times g \times \frac{L}{4} + \frac{mgL}{4} \times \frac{L}{4 \times 2}) ; নির্ণয় করার জন্য ০৩ নম্বর।
µ = 0.204 ; নির্ণয় করার জন্য ০৪ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
324,1447.jpg,0.0,,"initially:
at equilibrium:
এখানে, a = 0.68 mol

N2O4  ⇌  2NO2
3       0
3 - α   2α

(/frac{(2α)²}{(3 - α)}) = 0.15945 molL⁻¹

Kp = Kc(RT)^Δn = 0.15945 × {0.0821 (275 + 273)}²⁻¹
= 7.17378

ln Kp = (/frac{-ΔH}{R}) × (/frac{1}{T}) + ধ্রুবক

⇒ ln (7.17378) = (/frac{-57 × 10³}{8.314}) × (/frac{1}{275 + 273}) + ধ্রুবক

ধ্রুবক = 14.4812

লেখচিত্রটি Y-অক্ষকে (0, 14.4812) বিন্দুতে ছেদ করবে।

নম্বর বণ্টনঃ
Kc = 0.15945 molL⁻¹; নির্ণয়ের জন্য ০৩ নম্বর।
Kp = Kc(RT)^Δn; সূত্রের জন্য ০১ নম্বর।
Kp = 7.17378 atm; নির্ণয়ের জন্য ০২ নম্বর।
ln Kp = (/frac{ΔH}{R}) × (/frac{1}{T}) + ধ্রুবক; সূত্রের জন্য ০১ নম্বর।
y-অক্ষের ছেদবিন্দু = (0, 14.4812); নির্ণয়ের জন্য ০৩ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।
সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
325,1448.jpg,10.0,,"মিশ্রণের আয়তন = (a + b)ml
বাফার দ্রবণে HCOOH এর ঘনমাত্রা, [HCOOH] = /frac{0.15 \times a}{a+b} M
HCOONa এর ঘনমাত্রা, [HCOONa] = /frac{0.25 \times b}{a+b} M
তাহলে, pH = pKa + log /frac{অনুবন্ধী ক্ষার}{[দুর্বল অম্ল]}
⇒ log /frac{0.25 \times b}{0.15 \times a} = pH - pKa = 5.85 + log(1.8 \times 10^{-4})
⇒ log /frac{0.25 \times b}{0.15 \times a} = 2.10527
⇒ /frac{0.25b}{0.15a} = 10^{2.10527}
:. /frac{b}{a} = 76.4577
:. b : a = 76.4577
নম্বর বণ্টনঃ
pH = pKa + log /frac{অনুবন্ধী ক্ষার}{[দুর্বল অম্ল]}; সূত্রের জন্য ০৩ নম্বর।
b : a = 76.4577; নির্ণয় করার জন্য ০৭ নম্বর।
[বি.দ্রঃ একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি সূত্রে সঠিক মান বসিয়ে সমাধান করলেও নম্বর প্রদান করতে হবে।]",Chemistry
326,1449.jpg,10.0,,"(a) Sc(21) = 1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>6</sup> 3s<sup>2</sup> 3p<sup>6</sup> 3d<sup>1</sup> 4s<sup>2</sup>;
Sc<sup>3+</sup> = 1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>6</sup> 3s<sup>2</sup> 3p<sup>6</sup> 3d<sup>0</sup>
Sc<sup>3+</sup> সুস্থিত আয়নের 3d orbitale শূন্য। যা অবস্থান্তর মৌলের সংজ্ঞার বিপরীত। তাই Sc মৌলটি d-block হলেও অবস্থান্তর নয়।
(b) অবস্থান্তর মৌলের (n - 1)d ও ns অরবিটালের মধ্যে শক্তির পার্থক্য খুব সামান্য বলে উভয় অরবিটালের e বন্ধন সৃষ্টিতে অংশগ্রহণ করতে পারে। তাই
এরা পরিবর্তনশীল জারণ অবস্থা প্রদর্শন করে।
(c) ইথানয়িক এসিডের 6 - 10% জলীয় দ্রবণই ভিনেগার। ভিনেগার বা CH<sub>3</sub>COOH এর দ্রবণে H<sup>+</sup> আয়ন উপস্থিত, যা খাদ্যের ব্যাকটেরিয়াকে বিনষ্ট
করে। ফলে খাদ্যদ্রব্য সংরক্ষিত থাকে।
CH<sub>3</sub>COOH = CH<sub>3</sub>COO<sup>-</sup> + H<sup>+</sup>
জীবন্ত ব্যাকটেরিয়া + H<sup>+</sup> → মৃত/নিষ্ক্রিয় ব্যাকটেরিয়া
নম্বর বণ্টন:
৩টি প্রশ্নের উত্তর সঠিকভাবে লেখার জন্য (০৩+০৩+০৪) = ১০ নম্বর।",Chemistry
328,1453.jpg,8.0,1452.0,"(i) Al(NO3)3 + H2O
(ii) Mg3N2
(iii) KNO2 + O2
(iv) PH3 + NaH2PO2
(v) H3PO4
নম্বর বণ্টন:
৫টি বিক্রিয়া সম্পূর্ণ করার জন্য (০২ × ০৫) = ১০ নম্বর।",Chemistry
