question_id,image_filename,Marks,solution_image_id,solve_text,subject
38,1367.jpg,10.0,,"(a) [H+] = \frac{(25-24.99)\times 10^{-3}\times 0.1}{(25+24.99)\times 10^{-3}} M = 2 \times 10^{-5} M;
pH = -\log [H+] = 4.6989

(b) [OH-] = \frac{(25.1-25)\times 10^{-3}\times 0.1}{(25+25.1)\times 10^{-3}} M = 2 \times 10^{-4} M;
pH = 14 - pOH = 14 + \log [OH-] = 10.3001623

নম্বর বণ্টন:
[H+] = 2 \times 10^{-5} M; নির্ণয়ের জন্য ০৩ নম্বর।
pH = 4.6989; নির্ণয়ের জন্য ০২ নম্বর।
[OH-] = 2 \times 10^{-4} M; নির্ণয়ের জন্য ০৩ নম্বর।
pH = 10.3001623; নির্ণয়ের জন্য ০২ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Chemistry
39,1369.jpg,10.0,1368.0,"(i) 2,4-DNPH পরীক্ষা:
CH3CH2OH → কোনো বিক্রিয়া হবে না (অ্যালকোহল)
(ii) টলেন বিকারক পরীক্ষা:
HCHO + 2[Ag(NH3)2]⁺ + 2OH⁻ → 2Ag↓ (দর্পন) + HCOONH4 + 3NH3 + H2O (অ্যালডিহাইড)
CH3COCH3 + 2[Ag(NH3)2]⁺ + 2OH⁻ → (কোনো বিক্রিয়া হবে না) (কিটোন)
নম্বর বণ্টন:
2:4-DNP পরীক্ষা; লিখলে ০৫ নম্বর।
টলেন বিকারক পরীক্ষা; লিখলে ০৫ নম্বর।",Chemistry
40,1371.jpg,10.0,1370.0,"Invertase
(i) C₁₂H₂₂O₁₁ + H₂O ———> C₆H₁₂O₆ + C₆H₁₂O₆
(30°-37°)C

Zymase
(ii) C₆H₁₂O₆ ———> 2 CH₃CH₂OH + 2CO₂
20-30°C

Mycoderma aceti
(iii) CH₃CH₂OH + O₂ ———> CH₃COOH + H₂O
35°C

নম্বর বণ্টন:
(i) ৪টি শূন্যস্থান পূরণ করলে ০৪ নম্বর।
(ii) ৩টি শূন্যস্থান পূরণ করলে ০৩ নম্বর।
(iii) ৩টি শূন্যস্থান পূরণ করলে ০৩ নম্বর।",Chemistry
1,1441.jpg,10.0,,"PNH3 = 1.2 × 105 – 4.23 × 104 – 6.63 × 104 = 1.14 × 104Pa = 0.1125 atm
PN2 = 0.41746 atm
PH₂ = 0.6543 atm
Kp = \frac{PNH3}{\frac{3}{2}PH2\frac{1}{2}PN2} = 0.328  Kp = 0.328

PNH3 = 0.1125 atm
Kp = \frac{PNH3}{\frac{3}{2}PH2\frac{1}{2}PN2}
Kp = 0.328",Chemistry
2,1442.jpg,10.0,,"2AgNO3 + Na2S = Ag2S + 2NaNO3
Ag2S 2Ag+ + S2-
Kip(Ag₂S) = [Ag+]²[S²-]
= (250×1.5×10⁻²)/(250+150) × (150×5×10⁻⁵)/(250+150)
= 1.648 × 10⁻⁹ >> Ksp = 1.6 × 10⁻⁴⁹
অতএব, Ag2S এর অধঃক্ষেপ পড়বে। [NaNO3 পানিতে অতিমাত্রায় দ্রবণীয়।]
নম্বর বণ্টনঃ
2AgNO3 + Na2S = Ag2S + 2NaNO3; বিক্রিয়াটি লেখার জন্য ০২ নম্বর।
Kip(Ag₂S) = 1.648 × 10⁻⁹ >> Ksp = 1.6 × 10⁻⁴⁹ ; নির্ণয় করার জন্য ০৬ নম্বর।
Ag2S এর অধঃক্ষেপ পড়বে; লেখার জন্য ০২ নম্বর।",Chemistry
3,1443.jpg,10.0,,"দ্রবণের ঘনমাত্রা, Cb = \frac{\left(\frac{7}{35}\right)}{\left(\frac{100}{0.95\times 1000}\right)} = 1.9M

Kb = \frac{10^{-14}}{Ka} = 2.08 \times 10^{-5}

.:. [OH⁻] = \sqrt{Kb \times Cb} = 6.286 \times 10^{-3}M

:. pH = 14 + log[OH⁻] = 11.80

নম্বর বণ্টন:
দ্রবণের ঘনমাত্রা, Cb = 1.9M ; নির্ণয়ের জন্য ০৩ নম্বর।
[OH⁻] = 6.286 × 10⁻³ ; নির্ণয়ের জন্য ০৩ নম্বর।
pH = 11.80 ; নির্ণয়ের জন্য ০৪ নম্বর।",Chemistry
4,1444.jpg,4.0,,"H2 + I2 <=> 2HI
initially: 25 mol  18 mol  0
at equilibrium: (25-α) (18-α) 2α = 30mol
α = 15
Kc = (30)^2 / ((25-15)(18-15)) = 30
dissociation reaction of HI:
2HI <=> H2 + I2
initially: 2 0 0
at equilibrium: 2(1-x) x x
Kc' = 1/Kc = x^2 / (2(1-x))^2 => (x/(2-2x))^2 = 1/30
x = 0.57517, 0.267479
x = 0.267479
HI এর বিয়োজন মাত্রা 26.7479%
নম্বর বণ্টনঃ
α = 15; নির্ণয় করার জন্য ০২ নম্বর।
Kc = 30; নির্ণয় করার জন্য ০২ নম্বর।
x = 26.7479%; নির্ণয় করার জন্য ০৬ নম্বর।",Chemistry
5,1446.jpg,8.0,1445.0,"(a) LiCl > NaCl > KCl > RbCl > CsCl
Or,
CsCl < RbCl < KCl < NaCl < LiCl
(b) AgI > AgBr > AgCl > AgF
Or,
AgF < AgCl < AgBr < AgI
(c) HI > HBr > HCl > HF
Or,
HF < HCl < HBr < HI
(d) CaI2 > CaBr2 > CaCl2
Or,
CaCl2 < CaBr2 < CaI2
(e) FeCl3 > FeCl2 > MgCl2
Or,
MgCl2 < FeCl2 < FeCl3
নম্বর বণ্টন :
সমযোজী বৈশিষ্ট্যের ভিত্তিতে যৌগগুলিকে ক্রমানুসারে সঠিকভাবে সাজানোর জন্য (০২ × ০৫) = ১০ নম্বর।",Chemistry
6,1447.jpg,0.0,,"initially:
at equilibrium:
এখানে, a = 0.68 mol

N2O4  ⇌  2NO2
3       0
3 - α   2α

(/frac{(2α)²}{(3 - α)}) = 0.15945 molL⁻¹

Kp = Kc(RT)^Δn = 0.15945 × {0.0821 (275 + 273)}²⁻¹
= 7.17378

ln Kp = (/frac{-ΔH}{R}) × (/frac{1}{T}) + ধ্রুবক

⇒ ln (7.17378) = (/frac{-57 × 10³}{8.314}) × (/frac{1}{275 + 273}) + ধ্রুবক

ধ্রুবক = 14.4812

লেখচিত্রটি Y-অক্ষকে (0, 14.4812) বিন্দুতে ছেদ করবে।

নম্বর বণ্টনঃ
Kc = 0.15945 molL⁻¹; নির্ণয়ের জন্য ০৩ নম্বর।
Kp = Kc(RT)^Δn; সূত্রের জন্য ০১ নম্বর।
Kp = 7.17378 atm; নির্ণয়ের জন্য ০২ নম্বর।
ln Kp = (/frac{ΔH}{R}) × (/frac{1}{T}) + ধ্রুবক; সূত্রের জন্য ০১ নম্বর।
y-অক্ষের ছেদবিন্দু = (0, 14.4812); নির্ণয়ের জন্য ০৩ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।
সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Chemistry
7,1448.jpg,10.0,,"মিশ্রণের আয়তন = (a + b)ml
বাফার দ্রবণে HCOOH এর ঘনমাত্রা, [HCOOH] = /frac{0.15 \times a}{a+b} M
HCOONa এর ঘনমাত্রা, [HCOONa] = /frac{0.25 \times b}{a+b} M
তাহলে, pH = pKa + log /frac{অনুবন্ধী ক্ষার}{[দুর্বল অম্ল]}
⇒ log /frac{0.25 \times b}{0.15 \times a} = pH - pKa = 5.85 + log(1.8 \times 10^{-4})
⇒ log /frac{0.25 \times b}{0.15 \times a} = 2.10527
⇒ /frac{0.25b}{0.15a} = 10^{2.10527}
:. /frac{b}{a} = 76.4577
:. b : a = 76.4577
নম্বর বণ্টনঃ
pH = pKa + log /frac{অনুবন্ধী ক্ষার}{[দুর্বল অম্ল]}; সূত্রের জন্য ০৩ নম্বর।
b : a = 76.4577; নির্ণয় করার জন্য ০৭ নম্বর।
[বি.দ্রঃ একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি সূত্রে সঠিক মান বসিয়ে সমাধান করলেও নম্বর প্রদান করতে হবে।]",Chemistry
8,1449.jpg,10.0,,"(a) Sc(21) = 1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>6</sup> 3s<sup>2</sup> 3p<sup>6</sup> 3d<sup>1</sup> 4s<sup>2</sup>;
Sc<sup>3+</sup> = 1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>6</sup> 3s<sup>2</sup> 3p<sup>6</sup> 3d<sup>0</sup>
Sc<sup>3+</sup> সুস্থিত আয়নের 3d orbitale শূন্য। যা অবস্থান্তর মৌলের সংজ্ঞার বিপরীত। তাই Sc মৌলটি d-block হলেও অবস্থান্তর নয়।
(b) অবস্থান্তর মৌলের (n - 1)d ও ns অরবিটালের মধ্যে শক্তির পার্থক্য খুব সামান্য বলে উভয় অরবিটালের e বন্ধন সৃষ্টিতে অংশগ্রহণ করতে পারে। তাই
এরা পরিবর্তনশীল জারণ অবস্থা প্রদর্শন করে।
(c) ইথানয়িক এসিডের 6 - 10% জলীয় দ্রবণই ভিনেগার। ভিনেগার বা CH<sub>3</sub>COOH এর দ্রবণে H<sup>+</sup> আয়ন উপস্থিত, যা খাদ্যের ব্যাকটেরিয়াকে বিনষ্ট
করে। ফলে খাদ্যদ্রব্য সংরক্ষিত থাকে।
CH<sub>3</sub>COOH = CH<sub>3</sub>COO<sup>-</sup> + H<sup>+</sup>
জীবন্ত ব্যাকটেরিয়া + H<sup>+</sup> → মৃত/নিষ্ক্রিয় ব্যাকটেরিয়া
নম্বর বণ্টন:
৩টি প্রশ্নের উত্তর সঠিকভাবে লেখার জন্য (০৩+০৩+০৪) = ১০ নম্বর।",Chemistry
9,1451.jpg,0.0,1450.0,"মূলক SO₄²⁻

SO₄²⁻(aq) + BaCl₂(aq) → BaSO₄(s) + 2Cl⁻(aq)
white ppt.

SO₄²⁻(aq) + Ba(NO₃)₂(aq) → BaSO₄(s) + 2NO₃⁻(aq)
white ppt.

BaSO₄(s) + HCl(aq) → অদ্রবণীয়।

এখানে উভয়ক্ষেত্রেই BaSO₄ এর সাদা অধঃক্ষেপ পড়ে যা লঘু HCl এ অদ্রবণীয়। কিন্তু BaCl₂ ব্যবহার করলে Pb(NO₃)₂ লবণের ক্ষেত্রে SO₄²⁻ মূলক না থাকলেও PbCl₂ রূপে সাদা অধঃক্ষেপ পড়ে যা লঘু HCl এ অদ্রবণীয়।

Pb(NO₃)₂ + BaCl₂ → PbCl₂(s) + Ba(NO₃)₂
white ppt.

PbCl₂(s) + HCl (aq) → অদ্রবণীয়।

তাই SO₄²⁻ আয়ন শনাক্তকরণে Ba(NO₃)₂ ব্যবহার করা উত্তম।

নম্বর বণ্টনঃ
SO₄²⁻ আয়ন শনাক্তকরণে Ba(NO₃)₂ ব্যবহার করা উত্তম সঠিকভাবে ব্যাখ্যা করার জন্য ০৫ নম্বর।
SO₄²⁻ আয়ন শনাক্তকরণে BaCl₂ ব্যবহারের সমস্যা সঠিকভাবে ব্যাখ্যা করার জন্য ০৫ নম্বর।",Chemistry
10,1453.jpg,8.0,1452.0,"(i) Al(NO3)3 + H2O
(ii) Mg3N2
(iii) KNO2 + O2
(iv) PH3 + NaH2PO2
(v) H3PO4
নম্বর বণ্টন:
৫টি বিক্রিয়া সম্পূর্ণ করার জন্য (০২ × ০৫) = ১০ নম্বর।",Chemistry
11,1454.jpg,0.0,,"Al(OH)3 → Al³⁺ + 3OH⁻
S     0.2S     3 × 0.2S

Ksp = [Al³⁺][OH⁻]³ = 0.2 × 0.6³S⁴
Ksp = 0.0432 S⁴; S = 2.6 × 10⁻⁸M
OH⁻ = 0.6S = 1.56 × 10⁻⁸M
[OH⁻] < 10⁻⁷M
মোট OH⁻ = 1.56 × 10⁻⁸ + 10⁻⁷ = 1.156 × 10⁻⁷M
pOH = -log(1.156 × 10⁻⁷) = 6.937
pH = 14 - pOH = 7.063 (Ans.)

নম্বর বণ্টন:
S = 2.6 × 10⁻⁸M; নির্ণয়ের জন্য ০২ নম্বর।
OH⁻ = 1.156 × 10⁻⁷M; নির্ণয়ের জন্য ০৩ নম্বর।
pOH = 6.937; নির্ণয়ের জন্য ০২ নম্বর।
pH = 7.063; নির্ণয়ের জন্য ০৩ নম্বর।
বিঃদ্রঃ একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।",Chemistry
12,1456.jpg,10.0,1455.0,"(a) ভিনেগার অর্থাৎ ইথানয়িক এসিড (CH3COOH) হাইড্রোজেন বন্ধনের মাধ্যমে ডাইমার গঠন করতে পারে।
OH-O
CH3-C-O-HOC-CH3
ইথানয়িক এসিডের ডাইমার গঠন
অ্যালুমিনিয়াম ক্লোরাইড (AlCl3) যৌগে Al এর অষ্টক সংকোচন ঘটে। তাই অষ্টক পূরণের উদ্দেশ্যে পার্শ্ববর্তী একটি AlCl3 অণুর C1 পরামাণু থেকে
সর্বনিম্ন বন্ধনের মাধ্যমে একটি মুক্তজোড় গ্রহণ করে। এভাবে AlCl3 সন্নিবেশ বন্ধনের মাধ্যমে ডাইমার Al₂C16 গঠন করে।
Cl
CI
-CI
Cl
CIE
AlCl3 এর ডাইমার Al2C16 গঠন
(b) B (5) → 1s22s22px
উদ্দীপিত অবস্থায়, B* (5) → 1s22s¹2p2p2p2
সুতরাং B এর সংকরণ হলো sp², B* (5) → 1s²222
sp² সংকরিত B পরমাণুর তিনটি সংকর অরবিটালের সাথে তিনটি ফ্লোরিন পরমাণু সমযোজী বন্ধনে আবদ্ধ হয়ে BF3 অণু গঠিত হয়।
লুইস প্রতীকের মাধ্যমে বন্ধন গঠনটি হলো নিম্নরূপ:
F
B. +3: F-B-F
BF3 অণু ও ফ্লোরাইড আয়ন (F¯) এর মধ্যে সন্নিবেশ বন্ধন দ্বারা BF4 অ্যানায়ন গঠিত হয়ে থাকে। তখন B পরমাণুর খালি 2p2 অরবিটালে একটি
ইলেকট্রন যুক্ত হয়ে পড়ে। এ অবস্থায় B¯ আয়নের ইলেকট্রন বিন্যাস হয়, B¯ (5) → 1s22s2p2p2p
তখন B- আয়নে নতুনভাবে sp³ অরবিটাল সংকরণ ঘটে থাকে।
sp³ সংকরণের পর B¯ (5) → 1s²22222 হয়। তখন চারটি সংকর অরবিটালে চতুর্থ F পরমাণু সিগমা বন্ধনে আবদ্ধ হয়ে পড়ে।
সুতরাং উদ্দীপকের বিক্রিয়ার মাধ্যমে B এর sp² সংকরণ অবস্থার পরিবর্তন ঘটে sp³ সংকর অবস্থায় BF4 অ্যানায়ন গঠিত হয়।
নম্বর বণ্টন:",Chemistry
13,1457.jpg,9.0,,"যৌগ/আয়ন → সংকরণ → আকৃতি
COCl2 → sp² → সমতলীয় ত্রিভুজাকার
CO3⁻² → sp² → সমতলীয় ত্রিভুজাকার
NH3 → sp³ → ত্রিভুজাকার পিরামিডীয়
Fe(CO)5 → dsp³ → ত্রিভুজীয় দ্বিপিরামিডীয়
NO₂⁺ → sp → সরলরৈখিক (O ← N = O)
নম্বর বণ্টনঃ
সংকরণ ও আকৃতি লেখার জন্য; (০১+০১)× ০৫ = ১০ নম্বর।",Chemistry
14,1459.jpg,8.0,1458.0,"(a) F2, অক্সিজেন অপেক্ষা শক্তিশালী জারক। কেননা, F2, H2O থেকে O2 অপসারণ করে।
2F2+ 2H2O→ 4HF + O2
তাই বলা যায়, F2, O2 অপেক্ষা সবল জারক।
(b) [Ni(Cl)4]² এর ক্ষেত্রে,
Ni2+→ [Ar] 
দুর্বল লিগ্যান্ড C1 এর প্রভাবে,
sp³ সংকরণ, প্যারাম্যাগনেটিক
এখানে,
অযুগা ইলেকট্রন সংখ্যা, n = 2
. ম্যাগনেটিক মোমেন্ট, µ = √ n (n + 2)BM
= √2 (2+2) Β.Μ.= √8BM
[Fe(OH)]³¯ এর ক্ষেত্রে,
[Fe3+ → [Ar] 
দুর্বল লিগ্যান্ড OH এর প্রভাবে,
sp³d² সংকরণ, প্যারাম্যাগনেটিক
এখানে, n = 5
u = √5 (5 + 2)B M = √35 BM",Chemistry
15,1460.jpg,6.0,,"ক্লোরো অক্সাইডসমূহ: Cl₂O₇, Cl₂O₆, ClO, Cl₂O, ClO₂
Cl₂O₇ + H₂O → 2HClO₄; তীব্র অম্লধর্মী
Cl₂O₆ + H₂O → HClO₄ + HClO₃; অম্লধর্মী
2ClO₂ + H₂O → HClO₂ + HClO₃; অম্লধর্মী
ClO + H₂O → HCl + HOCl; দুর্বল অম্লধর্মী
Cl₂O + H₂O → 2HOCl; অতি দুর্বল অম্লধর্মী
অর্থাৎ, ক্লোরো অক্সাইডসমূহ অম্লধর্মী।
নম্বর বণ্টনঃ
Chloro oxide সমূহের প্রকৃতি ও বিক্রিয়া লেখার জন্য; (০১+০১)× ০৫ = ১০ নম্বর।",Chemistry
