,1,2,3,4,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9,10,9 (Rechecked),10(Rechecked),SOCRATIC,SCAFF,
Turn statements into questions,,,,,,,,,,,,,Only on fast paced,,Only on fast paced,,,,
Probe assumptions,,,,,,,,,,,,,Only on fast paced,,Only on fast paced,,,,
Avoid confirming correctness outright,,"Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced",Confirms for fast paced and gives step by step explanation by itself.,"Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Confirms for fast paced but asked for explanation, but confirms every small corrected steps and final answer for slow paced","Does not confirm for fast paced and asks , but confirms for smaller correct steps. ","Confirms for fast paced and provides the explanation by itself, but GIVES AN EXAMPLE PROBLEM TO SOLVE WITHOUT BEING ASKED, confirms every small corrected steps and final answer for slow paced","Does not confirm for fast paced and asks , but confirms for smaller correct steps. ","Does not confirm for fast paced and asks , but confirms for smaller correct steps. ",,,
Guide students to self-correct mistakes,,,,,,,Only corrected 'The answer is 34' as 32 was already found out before.,,,,,,,,,,,,
(Scaffolding),,,,,,,,,,,,,,,,,,,
Breaking down into smaller steps,,,,,,,,,,,,,,,,,,,
Relevant Examples,Only when asked. And solved it too.,Asked for real world examples when solved quickly. Provided an example when asked but didn't solve it.,"Asked for real world examples when solved quickly. When user asked for an example, it showed but also solved it ",Only when asked. And solved it too.,Only when asked. And solved it too.,Only when asked. And solved it too.,Provided an example when asked but didn't solve it.,Only when asked. And solved it too.,Asked for real world examples when solved quickly. Provided an example when asked but didn't solve it.,Asked for real world examples when solved quickly. Provided an example when asked but didn't solve it.,Only when asked. And solved it too.,Only when asked. And solved it too.,Only when asked. And solved it too.,Only when asked. And solved it too.,"Provides examples for fast paced. When asked, it gave but didn't solve it.","Provides examples for fast paced  When asked, it gave but didn't solve it.",only when asked,only when asked,
Structured hints,,,,Solved when asked for hint explicitly,Solved when asked for hint explicitly,,,,,,,,,,,,,,
Reflection,,For fast paced,For fast paced,,For fast paced,,,,For fast paced,For fast paced,For fast paced,,For fast paced,For fast paced,For fast paced,For fast paced,,,
Leading Questions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Problem 2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Problem 2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Two Pallindrome,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MANUALLY,,,
,BASIC1,BASIC2,BASIC3+PEDA,ADVANCED,SOCRATIC_SIMPLE,SCAFF_SIMPLE,BASIC1_SOCRATIC,BASIC1_SCAFF,BASIC2_SOCRATIC,BASIC2_SCAFF,ADVANCED_SCORATIC,ADVANCED_SCAFF,SOCRATIC,SCAFF,,SOCRATIC,"SOCRATIC
rechecked",SCAFF,"SCAFF
recheked"
,1,2,3,4,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9,10,,,,,
Not answering directly,"gave way when
asked for
explanation in
another method",,,,incomplete response,incomplete response,,,"doing great
but when
asked for hurry
it gave away
answer partially","doing good
but when
asked for hurry
it gave away
answer partially",incomplete response,,,,,,,,
Staying within the context,,,,,,,,,,,,,,,,,,,
Questioning,,,,,,,,,,,,,,,,,,,
Adapt according to student's pace,"Driving only
towards correct
soln",,,,,,,,,,,,,,,,,,
Social-emotional support,,,,,,,,,,,,,,,,,,,
Feedback,,,,,,,,,,,,,,,,,it resolved it,,
MCQ resistant,,,,,incomplete response,incomplete response,"can't say. already
gave ans
and based on that
it provided previous ans
to check","can't say. already
gave ans
and based on that
it provided previous ans
to check","can't say. already
gave ans
and based on that
it provided previous ans
to check","can't say. already
gave ans
and based on that
it provided previous ans
to check","can't say. already
gave ans
and based on that
it provided previous ans
to check",,,,,,,,
(Socratic ),,,,,,,,,,,,,,,,,,,
Challenge the student’s thinking,,,,,,,,,,,,,,,,,,,
Encourage multiple approaches,,,,,,,,,,,,,,,,,,,
Turn statements into questions,,,,,,,,,,,,,,,,,,,
Probe assumptions,,,,,,,,,,,,,,,,,,,
Guide students to self-correct mistakes,,,,,,,,,,,,,,,,,,,
Avoid confirming correctness outright,,,,,,,,,,,,,,,,"gave complement
to wrong ans tho",,,
(Scaffolding),,,,,,,,,,,,,,,,,,,
Breaking down into smaller steps,,,,,,,,,,,,,,,,,,,
Relevant Examples,,"only when
asked",,only when asked,only when asked,only when asked,only when asked,only when asked,only when asked,only when asked,only when asked,,only when asked,only when asked,,only when asked,only when asked,,
Structured hints,,,,,,,,,,,,,,,,,,,
Reflection,,,,,,,,,,,,,,,,,,,
Leading Questions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"did well but
f**ked up
when said 'hurry'
and it started going
through the sequence",,,,,,,,,,
